Date,File
2015/02/04,2625
2015/02/03,2624
2015/02/02,2624
2015/02/01,2622
2015/01/31,2622
2015/01/30,2621
2015/01/29,2621
2015/01/28,2620
2015/01/27,2619
2014/12/25,2616
2014/12/24,2616
2014/12/23,2615
2014/12/22,2614
2014/12/21,2614
2014/12/20,2614
2014/12/19,2613
2014/12/18,2612
2014/12/17,2611
2014/12/16,2610
2014/12/15,2609
2014/12/14,2609
2014/12/13,2609
2014/12/12,2608
2014/12/11,2607
2014/12/10,2606
2014/12/09,2605
2014/12/08,2604
2014/12/07,2604
2014/12/06,2603
2014/12/05,2603
2014/12/04,2602
2014/12/03,2601
