City,School,Address,Type,Start,End,Grade,Count
札幌市立,真駒内桜山小学校,札幌市南区真駒内泉町３丁目１３－１,学級閉鎖,2015/01/31,2015/02/05,２年,27
札幌市立,中央小学校,札幌市中央区大通東6丁目,学級閉鎖,2015/02/03,2015/02/05,５年,36
札幌市立,桑園小学校,札幌市中央区北8条西17丁目,学級閉鎖,2015/02/03,2015/02/05,１年,30
札幌市立,新琴似小学校,札幌市北区新琴似7条3丁目2-1,学級閉鎖,2015/02/03,2015/02/05,４年,28
札幌市立,新琴似小学校,札幌市北区新琴似7条3丁目2-1,学級閉鎖,2015/02/03,2015/02/05,５年,31
札幌市立,新川小学校,札幌市北区新川5条15丁目,学級閉鎖,2015/02/03,2015/02/05,５年,40
札幌市立,あいの里西小学校,札幌市北区あいの里二条三丁目9番1号,学級閉鎖,2015/02/03,2015/02/05,１年,27
札幌市立,屯田西小学校,札幌市北区屯田6条10丁目3-1,学級閉鎖,2015/02/03,2015/02/06,１年,29
札幌市立,北園小学校,札幌市東区北25条東4丁目,学年閉鎖,2015/02/03,2015/02/06,５年,70
札幌市立,東札幌小学校,札幌市白石区東札幌４条５丁目4-20,学年閉鎖,2015/02/03,2015/02/05,５年,88
札幌市立,東札幌小学校,札幌市白石区東札幌４条５丁目4-20,学級閉鎖,2015/02/03,2015/02/05,２年,37
札幌市立,東札幌小学校,札幌市白石区東札幌４条５丁目4-20,学級閉鎖,2015/02/03,2015/02/05,６年,33
札幌市立,西野第二小学校,札幌市西区西野8条7丁目,学級閉鎖,2015/02/03,2015/02/05,４年,32
札幌市立,山の手南小学校,札幌市西区山の手一条９丁目,学級閉鎖,2015/02/03,2015/02/05,１年,30
札幌市立,新陵小学校,札幌市手稲区新発寒6条6丁目3－1,学級閉鎖,2015/02/03,2015/02/05,２年,33
札幌市立,篠路中学校,札幌市北区篠路町篠路368番地,学級閉鎖,2015/02/03,2015/02/05,１年,30
札幌市立,月寒中学校,札幌市豊平区月寒東2条2丁目4-54,学級閉鎖,2015/02/03,2015/02/05,１年,33
札幌市立,平岸中学校,札幌市豊平区平岸一条二十一丁目,学級閉鎖,2015/02/03,2015/02/05,１年,32
札幌市立,稲積中学校,札幌市手稲区前田四条五丁目二番一号,学級閉鎖,2015/02/03,2015/02/05,１年,34
札幌市立,伏見小学校,札幌市中央区南18条西15丁目１－１,学級閉鎖,2015/02/04,2015/02/08,２年,32
札幌市立,新川小学校,札幌市北区新川5条15丁目,学級閉鎖,2015/02/04,2015/02/06,５年,41
札幌市立,太平南小学校,札幌市北区太平1条1丁目,学級閉鎖,2015/02/04,2015/02/06,４年,27
札幌市立,美香保小学校,札幌市東区北１８条東,学級閉鎖,2015/02/04,2015/02/06,１年,34
札幌市立,上野幌東小学校,札幌市厚別区上野幌2条4丁目,学級閉鎖,2015/02/04,2015/02/06,１年,24
札幌市立,藻岩北小学校,札幌市南区川沿2条3丁目7-1,学級閉鎖,2015/02/04,2015/02/06,１年,25
札幌市立,二十四軒小学校,札幌市西区二十四軒二条3丁目,学級閉鎖,2015/02/04,2015/02/06,６年,26
