City,School,Address,Type,Start,End,Grade,Count
札幌市立,南郷小学校,白石区本郷通４丁目南,学級閉鎖,2013/12/10,2013/12/12,1年,34
札幌市立,和光小学校,北区北３４条西７丁目,学級閉鎖,2013/12/11,2013/12/13,6年,29
札幌市立,和光小学校,北区北３４条西７丁目,学年閉鎖,2013/12/12,2013/12/13,6年,29
札幌市立,百合が原小学校,北区百合が原６丁目,学級閉鎖,2013/12/14,2013/12/17,6年,33
札幌市立,百合が原小学校,北区百合が原６丁目,学級閉鎖,2013/12/18,2013/12/20,2年,27
札幌市立,西宮の沢小学校,手稲区西宮の沢２条４丁目,学級閉鎖,2013/12/18,2013/12/20,6年,33
札幌市立,和光小学校,北区北３４条西７丁目,学級閉鎖,2013/12/20,2013/12/23,1年,35
札幌市立,和光小学校,北区北３４条西７丁目,学級閉鎖,2013/12/20,2013/12/23,2年,32
札幌市立,美園小学校,豊平区平岸５条７丁目,学級閉鎖,2013/12/17,2013/12/23,2年,33
札幌市立,栄東小学校,東区北４６条東１３丁目,学級閉鎖,2013/12/25,2013/12/25,1年,30
札幌市立,福移小学校,東区中沼町２４０,学年閉鎖,2014/01/21,2014/01/23,1年,14
札幌市立,新陵中学校,手稲区新発寒５条４丁目,学級閉鎖,2014/01/21,2014/01/23,2年,31
札幌市立,新陵中学校,手稲区新発寒５条４丁目,学級閉鎖,2014/01/21,2014/01/23,2年,31
札幌市立,栄北小学校,東区北４７条東６丁目,学年閉鎖,2014/01/24,2014/01/24,6年,32
札幌市立,栄北小学校,東区北４７条東６丁目,学級閉鎖,2014/01/24,2014/01/24,1年,24
札幌市立,栄北小学校,東区北４７条東６丁目,学級閉鎖,2014/01/24,2014/01/24,4年,32
札幌市立,厚別西小学校,厚別区厚別西３条１丁目,学年閉鎖,2014/01/24,2014/01/27,5年,34
札幌市立,啓明中学校,中央区南９条西２２丁目,学級閉鎖,2014/01/22,2014/01/24,2年,38
札幌市立,啓明中学校,中央区南９条西２２丁目,学級閉鎖,2014/01/24,2014/01/24,1年,33
札幌市立,啓明中学校,中央区南９条西２２丁目,学級閉鎖,2014/01/24,2014/01/24,1年,33
札幌市立,厚別中学校,厚別区厚別東３条５丁目,学級閉鎖,2014/01/24,2014/01/26,3年,34
札幌市立,八条中学校,豊平区豊平８条１３丁目,学級閉鎖,2014/01/24,2014/01/26,1年,31
札幌市立,清田中学校,清田区清田３条３丁目,学級閉鎖,2014/01/24,2014/01/26,2年,38
札幌市立,星置中学校,手稲区星置３条５丁目,学級閉鎖,2014/01/24,2014/01/26,1年,33
札幌市立,白楊小学校,北区北２４条西７丁目,学級閉鎖,2014/01/28,2014/01/28,5年,39
札幌市立,東札幌小学校,白石区東札幌４条５丁目,学級閉鎖,2014/01/28,2014/01/28,1年,33
札幌市立,澄川中学校,南区澄川６条６丁目,学級閉鎖,2014/01/28,2014/01/29,3年,36
札幌市立,円山小学校,中央区北１西２５,学級閉鎖,2014/01/28,2014/01/30,1年,30
札幌市立,大倉山小学校,中央区宮の森３条１３丁目,学級閉鎖,2014/01/28,2014/01/30,4年,28
札幌市立,大倉山小学校,中央区宮の森３条１３丁目,学級閉鎖,2014/01/28,2014/01/30,6年,37
札幌市立,白楊小学校,北区北２４条西７丁目,学年閉鎖,2014/01/29,2014/01/30,5年,40
札幌市立,新陽小学校,北区北２７条西１４丁目,学級閉鎖,2014/01/28,2014/01/30,1年,27
札幌市立,新陽小学校,北区北２７条西１４丁目,学級閉鎖,2014/01/28,2014/01/30,2年,30
札幌市立,新陽小学校,北区北２７条西１４丁目,学級閉鎖,2014/01/28,2014/01/30,3年,41
札幌市立,新琴似北小学校,北区新琴似１１条６丁目,学級閉鎖,2014/01/28,2014/01/30,4年,30
札幌市立,新光小学校,北区新琴似１条１２丁目,学級閉鎖,2014/01/28,2014/01/30,1年,28
札幌市立,太平南小学校,北区太平１条１丁目,学年閉鎖,2014/01/28,2014/01/30,2年,44
札幌市立,美香保小学校,東区北１８条東６丁目,学年閉鎖,2014/01/30,2014/01/30,3年,28
札幌市立,札苗小学校,東区東苗穂７条２丁目,学級閉鎖,2014/01/28,2014/01/30,1年,31
札幌市立,栄西小学校,東区北３９条東４丁目,学級閉鎖,2014/01/28,2014/01/30,1年,26
札幌市立,栄北小学校,東区北４７条東６丁目,学年閉鎖,2014/01/28,2014/01/30,2年,71
札幌市立,栄北小学校,東区北４７条東６丁目,学年閉鎖,2014/01/28,2014/01/30,4年,63
札幌市立,栄北小学校,東区北４７条東６丁目,学級閉鎖,2014/01/28,2014/01/30,1年,25
札幌市立,東札幌小学校,白石区東札幌４条５丁目,学年閉鎖,2014/01/29,2014/01/30,1年,34
札幌市立,幌東小学校,白石区菊水６条３丁目,学級閉鎖,2014/01/28,2014/01/30,2年,34
札幌市立,共栄小学校,厚別区厚別南２丁目,学年閉鎖,2014/01/29,2014/01/30,3年,62
札幌市立,旭小学校,豊平区水車町３丁目,学年閉鎖,2014/01/28,2014/01/30,3年,54
札幌市立,中の島小学校,豊平区中の島２条１丁目,学級閉鎖,2014/01/28,2014/01/30,5年,28
札幌市立,南月寒小学校,豊平区月寒西４条８丁目,学級閉鎖,2014/01/28,2014/01/30,3年,27
札幌市立,南月寒小学校,豊平区月寒西４条８丁目,学級閉鎖,2014/01/28,2014/01/30,5年,35
札幌市立,西岡北小学校,豊平区西岡３条６丁目,学級閉鎖,2014/01/28,2014/01/30,1年,31
札幌市立,平岡公園小学校,清田区平岡公園東５丁目,学級閉鎖,2014/01/28,2014/01/30,2年,34
札幌市立,常盤小学校,南区常盤６条２丁目,学級閉鎖,2014/01/28,2014/01/30,3年,28
札幌市立,澄川小学校,南区澄川５条４丁目,学級閉鎖,2014/01/28,2014/01/30,1年,24
札幌市立,澄川小学校,南区澄川５条４丁目,学級閉鎖,2014/01/28,2014/01/30,3年,32
札幌市立,澄川西小学校,南区澄川２条５丁目,学年閉鎖,2014/01/28,2014/01/30,3年,43
札幌市立,手稲中央小学校,手稲区手稲本町３条２丁目,学級閉鎖,2014/01/28,2014/01/30,2年,25
札幌市立,手稲鉄北小学校,手稲区前田２条１２丁目,学級閉鎖,2014/01/28,2014/01/30,2年,28
札幌市立,手稲鉄北小学校,手稲区前田２条１２丁目,学年閉鎖,2014/01/29,2014/01/30,6年,73
札幌市立,星置東小学校,手稲区星置２条１丁目,学級閉鎖,2014/01/28,2014/01/30,2年,34
札幌市立,啓明中学校,中央区南９条西２２丁目,学級閉鎖,2014/01/28,2014/01/30,1年,33
札幌市立,新川西中学校,北区新川４条１５丁目,学級閉鎖,2014/01/28,2014/01/30,2年,40
札幌市立,八条中学校,豊平区豊平８条１３丁目,学級閉鎖,2014/01/28,2014/01/30,1年,31
札幌市立,八条中学校,豊平区豊平８条１３丁目,学級閉鎖,2014/01/28,2014/01/30,2年,40
札幌市立,月寒中学校,豊平区月寒東２条２丁目,学級閉鎖,2014/01/28,2014/01/30,2年,33
札幌市立,八軒中学校,西区八軒８条西８丁目,学級閉鎖,2014/01/28,2014/01/30,1年,32
札幌市立,中央小学校,中央区大通東６丁目,学級閉鎖,2014/01/30,2014/01/31,6年,29
札幌市立,円山小学校,中央区北１西２５,学級閉鎖,2014/01/29,2014/01/31,1年,30
札幌市立,円山小学校,中央区北１西２５,学級閉鎖,2014/01/29,2014/01/31,1年,31
札幌市立,北九条小学校,北区北９条西１丁目,学級閉鎖,2014/01/29,2014/01/31,3年,33
札幌市立,白楊小学校,北区北２４条西７丁目,学級閉鎖,2014/01/29,2014/01/31,2年,33
札幌市立,白楊小学校,北区北２４条西７丁目,学級閉鎖,2014/01/31,2014/01/31,5年,40
札幌市立,白楊小学校,北区北２４条西７丁目,学年閉鎖,2014/01/31,2014/01/31,1年,34
札幌市立,新川中央小学校,北区新川３条３丁目,学級閉鎖,2014/01/28,2014/01/31,4年,40
札幌市立,太平小学校,北区篠路１条２丁目,学級閉鎖,2014/01/29,2014/01/31,2年,34
札幌市立,太平南小学校,北区太平１条１丁目,学年閉鎖,2014/01/28,2014/01/31,2年,44
札幌市立,太平南小学校,北区太平１条１丁目,学年閉鎖,2014/01/29,2014/01/31,1年,49
札幌市立,太平南小学校,北区太平１条１丁目,学年閉鎖,2014/01/31,2014/01/31,5年,26
札幌市立,美香保小学校,東区北１８条東６丁目,学級閉鎖,2014/01/31,2014/01/31,3年,28
札幌市立,東札幌小学校,白石区東札幌４条５丁目,学級閉鎖,2014/01/31,2014/01/31,1年,34
札幌市立,西白石小学校,白石区中央３条５丁目,学年閉鎖,2014/01/29,2014/01/31,4年,28
札幌市立,菊水小学校,白石区菊水元町２条３丁目,学級閉鎖,2014/01/30,2014/01/31,2年,24
札幌市立,東川下小学校,白石区川下４条３丁目,学級閉鎖,2014/01/30,2014/01/31,6年,29
札幌市立,米里小学校,白石区米里１条３丁目,学級閉鎖,2014/01/30,2014/01/31,1年,30
札幌市立,上野幌小学校,厚別区厚別南７丁目,学年閉鎖,2014/01/28,2014/01/31,4年,39
札幌市立,共栄小学校,厚別区厚別南２丁目,学級閉鎖,2014/01/31,2014/01/31,3年,31
札幌市立,共栄小学校,厚別区厚別南２丁目,学級閉鎖,2014/01/31,2014/01/31,3年,31
札幌市立,東園小学校,豊平区豊平１条１２丁目,学年閉鎖,2014/01/28,2014/01/31,5年,68
札幌市立,豊園小学校,豊平区美園１条４丁目,学級閉鎖,2014/01/28,2014/01/31,4年,33
札幌市立,豊園小学校,豊平区美園１条４丁目,学級閉鎖,2014/01/28,2014/01/31,6年,35
札幌市立,東山小学校,豊平区平岸４条１１丁目,学級閉鎖,2014/01/29,2014/01/31,1年,33
札幌市立,西岡南小学校,豊平区西岡４条１２丁目,学級閉鎖,2014/01/29,2014/01/31,1年,28
札幌市立,西岡南小学校,豊平区西岡４条１２丁目,学級閉鎖,2014/01/29,2014/01/31,3年,33
札幌市立,藻岩小学校,南区川沿７条２丁目,学級閉鎖,2014/01/29,2014/01/31,5年,38
札幌市立,澄川小学校,南区澄川５条４丁目,学級閉鎖,2014/01/29,2014/01/31,6年,37
札幌市立,手稲宮丘小学校,西区宮の沢３条２丁目,学級閉鎖,2014/01/29,2014/01/31,5年,33
札幌市立,八軒小学校,西区八軒４条西１丁目,学級閉鎖,2014/01/28,2014/01/31,2年,26
札幌市立,八軒西小学校,西区八軒３条西５丁目,学級閉鎖,2014/01/30,2014/01/31,6年,39
札幌市立,八軒北小学校,西区八軒８条西６丁目,学年閉鎖,2014/01/31,2014/01/31,1年,34
札幌市立,手稲鉄北小学校,手稲区前田２条１２丁目,学級閉鎖,2014/01/29,2014/01/31,1年,31
札幌市立,手稲鉄北小学校,手稲区前田２条１２丁目,学級閉鎖,2014/01/29,2014/01/31,2年,29
札幌市立,手稲鉄北小学校,手稲区前田２条１２丁目,学級閉鎖,2014/01/29,2014/01/31,2年,27
札幌市立,手稲鉄北小学校,手稲区前田２条１２丁目,学級閉鎖,2014/01/29,2014/01/31,5年,31
札幌市立,手稲鉄北小学校,手稲区前田２条１２丁目,学級閉鎖,2014/01/31,2014/01/31,6年,37
札幌市立,手稲鉄北小学校,手稲区前田２条１２丁目,学級閉鎖,2014/01/31,2014/01/31,6年,36
